fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.958218,0.96236,0.887574,0.866171,0.917323,0.891013,0.776482
1,0.958397,0.962106,0.895464,0.873606,0.925197,0.898662,0.79229
2,0.963991,0.967825,0.891519,0.877863,0.909091,0.893204,0.783546
3,0.962544,0.95871,0.879684,0.842857,0.932806,0.885553,0.763761
4,0.96274,0.963025,0.889328,0.868914,0.916996,0.892308,0.779851
5,0.963419,0.966174,0.897233,0.879245,0.920949,0.899614,0.795362
6,0.974019,0.978101,0.918972,0.914062,0.924901,0.91945,0.838004
7,0.96042,0.964109,0.899209,0.900794,0.897233,0.89901,0.798425
8,0.964755,0.968007,0.905138,0.898833,0.913043,0.905882,0.810378
9,0.969754,0.973389,0.899209,0.879699,0.924901,0.901734,0.799475
Mean,0.9638257,0.9663806,0.896333,0.8802044,0.918244,0.898643,0.7937574
Std,0.0048926454,0.0057826882,0.0107202517,0.0202394776,0.0100611467,0.0094000383,0.0205185431
